model [walmart_amazon],precision,recall,f1,pr_auc,roc_auc,pct_automated,review_queue_count,review_queue_pct
Random Forest (primary),0.9143,0.6632,0.7688,0.81,0.952,91.0,184,9.0
XGBoost (benchmark),0.9078,0.6632,0.7665,0.812,0.9515,91.8,169,8.2
