model [dblp_googlescholar],precision,recall,f1,pr_auc,roc_auc,pct_automated,review_queue_count,review_queue_pct
Random Forest (primary),0.9438,0.8953,0.9189,0.9776,0.995,94.2,333,5.8
XGBoost (benchmark),0.9287,0.9374,0.933,0.977,0.995,98.1,108,1.9
